id;description;login;passwort;passwort_replay
1;Credit virtual;card engine productivity;Leone bluetooth microchip;Chips withdrawal Berkshire
2;green JSON Direct;transmitting;capacitor support;turquoise Plastic
3;Account Lira alarm;moratorium Liaison;B2B Health;South Planner Bedfordshire
4;Investor Marino FTP;Designer;Computer programming;Automotive Forest Dakota
5;National View Team-oriented;zero;Puerto Rand;Brunei
6;area Shoes Cyprus;connecting Operations Fresh;deploy Branch users;e-tailers Hat Team-oriented
7;Rustic Mexico;Baby;Beauty calculating;Synchronised Greenland
8;Robust;incubate Sausages;service-desk client-server Delaware;Quality
9;Metal;alarm wireless task-force;Orchestrator connect integrated;interface
10;bandwidth Brand one-to-one;deposit;monetize;harness
