id;login_name;nachname;vorname;vermittler_nummer;rollen_zugehoerigkeiten;dvc_vertreter_nummer;dvc_benutzer_gruppe;icis_sr_gebaude;icis_sr_haftpflicht;icis_sr_leitungswasser;icis_sr_kfz_kasko;bestandssicht;bemerkung;pruefung_erfolgt
1;architectures;Market Functionality mobile;quantifying Computer;94341;../fake-data/blob/hipster.txt;generate interfaces Berlin;programming incubate;Somalien superstructure Track;redundant Music;Organic TCP;interfaces;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
2;application;Directives Future open-source;Analyst Handcrafted Avon;80830;../fake-data/blob/hipster.txt;microchip Ville invoice;Beauty;JSON benchmark;copying ivory Gateway;matrix Solutions;Tschad;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
3;ROI panel die;Compatible viral;Central Specialist Heights;685;../fake-data/blob/hipster.txt;Croatian Hat;Identity;Incredible Infrastructure array;Consultant;Land Refined;solid Kids;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
4;Points adapter;Bedfordshire RAM Handmade;impactful Borders;92115;../fake-data/blob/hipster.txt;Berlin Dollar FTP;Shirt;override Strategist;feed Garden;calculating navigating;multi-byte target;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
5;Brandenburg;Tuna;payment;39388;../fake-data/blob/hipster.txt;Ergonomic monitor;gold navigating;Soap;open-source synthesize;monitoring ivory frictionless;Hessen Practical Course;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
6;internet Customer-focused;orange JSON Hessen;Consultant Markets;88483;../fake-data/blob/hipster.txt;Data Small deposit;compressing;Park;Sachsen-Anhalt Beauty reboot;Global;ROI;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
7;firewall RSS;Garden wireless Small;Chips Strategist;57316;../fake-data/blob/hipster.txt;responsive fuchsia;convergence Buckinghamshire Money;Coordinator;Algerien;Interactions;Slowenien Dynamic mobile;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
8;channels;Borders Tools;interface Schleswig-Holstein platforms;62530;../fake-data/blob/hipster.txt;Grocery Frozen;Ball;Zimbabwe Savings port;Forward AI niches;Investment Svalbard Mecklenburg-Vorpommern;Data Dam;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
9;Sachsen-Anhalt;Borders Points invoice;Generic firewall quantify;75504;../fake-data/blob/hipster.txt;Thüringen Intelligent users;encoding;program Synergized firewall;client-server Home Stream;Avon;bypassing olive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;false
10;Mouse Liaison Mouse;fault-tolerant solutions Brooks;reinvent National;67692;../fake-data/blob/hipster.txt;Account;tan Concrete Cross-group;XSS Director;Object-based enhance Corporate;flexibility online magnetic;Licensed Drive;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;true
